_DATE,_NAME,MATCHGAME,PRE_DIFF_FORM,PRE_DIFF_GS,PRE_DIFF_GC,PRE_DIFF_ATTACK_STRENGTH,PRE_DIFF_DEFENCE_STRENGTH,PRE_DIFF_PTS,_SEASON,_LEAGUE,_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Sun. 2 Mar.,Sassuolo v Parma,26,-0.6129032258064516,-15.0,21.0,-0.2180232558139535,0.30523255813953487,-20.0,2013..2014,ita,Sassuolo v Parma,2,-0.5,-2,2,40,-6,34,34,7,-10,37,16,1,-1,-2,2,-4,-3,-1,3,0,0,-5,0,24,21,-3,-6,0,0,-6,-3,5,2,-1
Sun. 16 Mar.,Sassuolo v Catania,28,-0.08064516129032256,5.0,9.0,0.06925207756232693,0.1246537396121884,-2.0,2013..2014,ita,Sassuolo v Catania,0,1.7999999999999972,3,5,-27,0,-28,3,-25,-18,-3,-4,1,-1,0,0,1,-1,-1,-2,1,0,-3,0,-8,-41,-33,-3,0,0,-1,-3,-1,-2,-1
Wed. 26 Mar.,Sassuolo v Sampdoria,30,-0.38709677419354843,-10.0,15.0,-0.12903225806451613,0.19354838709677424,-16.0,2013..2014,ita,Sassuolo v Sampdoria,2,1.8999999999999986,1,-1,22,-2,22,20,3,12,42,-30,1,-1,3,-3,3,4,1,0,1,0,-1,0,61,25,-36,6,0,0,-4,-4,5,0,0
Sun. 30 Mar.,Sassuolo v AS Roma,31,-0.7580645161290323,-31.0,42.0,-0.38749999999999996,0.525,-49.0,2013..2014,ita,Sassuolo v Roma,2,0.10000000000000142,-3,-2,-187,-12,-176,-103,-103,-76,-108,-23,-2,2,-4,4,-3,-3,-1,-8,-1,0,4,0,-122,-177,-55,3,0,0,3,2,-2,-1,-1
Sat. 12 Apr.,Sassuolo v Cagliari,33,0.4193548387096774,1.0,17.0,0.0117647058823529,0.19999999999999996,-8.0,2013..2014,ita,Sassuolo v Cagliari,1,0.1999999999999993,1,-1,-24,10,-29,-22,-8,-13,1,-19,3,-3,-1,1,-2,0,1,-4,-3,0,0,0,5,-31,-36,-3,1,0,13,11,-3,-2,1
Mon. 28 Apr.,Sassuolo v Juventus,35,-0.16129032258064513,-39.0,40.0,-0.42716319824753557,0.43811610076670326,-62.0,2013..2014,ita,Sassuolo v Juventus,2,-1.8000000000000007,-1,-1,-118,14,-120,-60,-58,-66,-55,2,5,-5,1,-1,-1,-1,1,4,-1,0,-2,0,-102,-105,-3,9,1,0,-2,3,7,5,0
Sun. 11 May.,Sassuolo v Genoa,37,0.32258064516129037,0.0,22.0,0.0,0.22680412371134023,-10.0,2013..2014,ita,Sassuolo v Genoa,0,1.5999999999999979,2,4,-55,-8,-58,-35,-23,-2,-28,-28,2,-2,3,-3,1,0,1,-3,2,0,1,0,-9,-69,-60,-6,-1,0,4,3,0,-1,0
Sun. 25 Aug.,Torino v Sassuolo,1,0,0,0,0,0,0,2013..2014,ita,Torino v Sassuolo,0,1.4000000000000021,2,0,-29,14,-30,-36,8,-28,-48,48,1,-1,-1,1,1,1,1,-3,-2,0,1,0,-89,-30,59,1,1,0,-3,-1,3,2,1
Sat. 14 Sep.,Torino v AC Milan,3,-0.3333333333333333,-2.0,-1.0,-0.3076923076923077,-0.15384615384615385,0.0,2013..2014,ita,Torino v AC Milan,1,-1.2999999999999972,0,-1,-29,5,-30,-23,-1,8,-32,-1,0,0,1,-1,-2,-2,0,7,-1,0,1,0,-19,-20,-1,1,-1,0,-6,-2,5,4,0
Wed. 25 Sep.,Torino v Hellas Verona,5,0.39999999999999997,1.0,-1.0,0.0847457627118644,-0.0847457627118644,1.0,2013..2014,ita,Torino v Verona,1,0.40000000000000213,1,2,-42,4,-30,-29,-17,-28,-44,25,4,-4,5,-5,-1,-2,-1,0,-2,0,0,0,-56,-36,20,2,0,0,-4,-1,2,3,0
Sun. 29 Sep.,Torino v Juventus,6,-0.32258064516129026,-2.0,3.0,-0.13157894736842113,0.19736842105263158,-5.0,2013..2014,ita,Torino v Juventus,2,-0.6999999999999993,-2,-3,-11,13,-12,-29,8,-81,11,47,-4,4,2,-2,-2,-1,0,-8,0,0,3,0,-98,5,103,2,-1,0,2,2,0,0,0
Sun. 20 Oct.,Torino v Inter Milan,8,0.06451612903225806,-6.0,4.0,-0.2884615384615384,0.19230769230769235,-5.0,2013..2014,ita,Torino v Inter,1,1.1999999999999993,2,3,28,-5,23,20,15,20,4,11,2,-2,1,-1,-1,0,0,1,-2,0,3,0,30,19,-11,-1,1,-1,-2,-2,2,0,0
Sun. 3 Nov.,Torino v AS Roma,11,-0.6451612903225806,-8.0,17.0,-0.273037542662116,0.5802047781569967,-19.0,2013..2014,ita,Torino v Roma,1,1.1999999999999993,4,5,-140,0,-147,-90,-60,-41,-118,7,-1,1,3,-3,-1,-2,-1,-4,-2,0,0,0,-112,-144,-32,-2,-1,0,5,6,3,1,-1
Sun. 24 Nov.,Torino v Catania,13,-0.33870967741935476,10.0,2.0,0.29585798816568043,0.059171597633136064,3.0,2013..2014,ita,Torino v Catania,0,1.6999999999999993,3,0,0,19,7,-16,15,-33,14,17,0,0,5,-5,2,3,0,-6,-1,0,1,0,-60,18,78,6,-1,0,-10,-5,11,5,2
Sun. 8 Dec.,Torino v Lazio,15,0.3548387096774194,4.0,2.0,0.10282776349614386,0.05141388174807193,-1.0,2013..2014,ita,Torino v Lazio,0,0.5,-6,-4,-36,-9,-38,-25,-30,-41,-63,49,-4,4,1,-1,-4,-1,0,-15,-3,0,0,0,-140,-39,101,0,-1,0,3,0,-4,-3,1
Sun. 22 Dec.,Torino v Chievo,17,0.43548387096774194,14.0,4.0,0.3153153153153153,0.09009009009009011,7.0,2013..2014,ita,Torino v Chievo,0,-0.8000000000000007,1,-1,69,10,61,43,29,33,59,-19,2,-2,3,-3,3,3,0,4,-1,0,0,0,96,66,-30,5,0,0,0,1,2,1,0
Sun. 12 Jan.,Torino v Fiorentina,19,-0.46774193548387094,-3.0,7.0,-0.06060606060606055,0.14141414141414138,-11.0,2013..2014,ita,Torino v Fiorentina,1,0.6000000000000014,-6,1,-92,7,-108,-45,-37,-60,-42,19,3,-3,-3,3,-3,-3,0,5,-1,0,1,0,-126,-117,9,-4,0,0,8,4,-5,-4,0
Sun. 26 Jan.,Torino v Atalanta,21,-0.048387096774193505,12.0,-2.0,0.21660649819494576,-0.03610108303249093,5.0,2013..2014,ita,Torino v Atalanta,0,0.09999999999999787,7,7,-38,-1,-36,-18,-8,21,-55,11,5,-5,0,0,5,1,0,9,1,0,0,0,17,-20,-37,3,0,0,-5,0,6,5,0
Sun. 9 Feb.,Torino v Bologna,23,0.4516129032258064,15.0,-10.0,0.2463054187192118,-0.16420361247947457,15.0,2013..2014,ita,Torino v Bologna,2,0.0,3,0,51,28,58,57,11,51,5,11,5,-5,-8,8,6,1,1,11,0,0,2,0,55,58,3,-1,0,0,3,1,1,-2,-1
Sun. 2 Mar.,Torino v Sampdoria,26,0.1129032258064516,12.0,-5.0,0.17441860465116288,-0.07267441860465118,8.0,2013..2014,ita,Torino v Sampdoria,2,2.8000000000000007,2,5,-2,3,2,-14,20,18,-21,10,5,-5,2,-2,2,-1,-1,8,4,0,1,0,16,-6,-22,4,-2,0,9,4,-7,-5,-1
Mon. 17 Mar.,Torino v Napoli,28,-0.7419354838709677,-13.0,6.0,-0.18005540166204992,0.08310249307479217,-19.0,2013..2014,ita,Torino v Napoli,2,-1.1999999999999993,-3,0,-37,3,-34,-23,-18,-22,-68,49,0,0,-2,2,-3,0,0,-2,1,0,3,0,-70,-37,33,1,0,0,-2,-3,-1,-1,0
Sat. 22 Mar.,Torino v Livorno,29,-0.5806451612903226,8.0,-15.0,0.10624169986719789,-0.19920318725099595,12.0,2013..2014,ita,Torino v Livorno,0,0.1999999999999993,11,7,99,-6,102,55,54,-8,76,40,5,-5,0,0,7,5,1,7,5,0,1,0,26,106,80,-2,-1,0,10,8,-7,-2,1
Sun. 30 Mar.,Torino v Cagliari,31,-0.32258064516129037,15.0,0.0,0.18750000000000006,0.0,7.0,2013..2014,ita,Torino v Cagliari,0,-0.40000000000000213,6,3,-5,7,-6,-22,19,12,-49,34,3,-3,0,0,5,2,1,-2,1,0,1,0,-1,-8,-7,-2,0,0,-7,-6,5,1,1
Sun. 13 Apr.,Torino v Genoa,33,0.6774193548387097,12.0,0.0,0.14117647058823535,0.0,6.0,2013..2014,ita,Torino v Genoa,0,-0.6999999999999993,-3,-4,-61,-11,-63,-48,-11,-6,-73,19,-2,2,-2,2,0,-1,0,-5,0,0,1,0,-48,-64,-16,0,0,0,5,0,-2,-5,0
Sun. 27 Apr.,Torino v Udinese,35,0.37096774193548393,16.0,-2.0,0.1752464403066813,-0.02190580503833517,10.0,2013..2014,ita,Torino v Udinese,0,2.0,2,-2,-68,-13,-69,-51,-26,-20,-62,6,-1,1,-3,3,1,3,0,-5,2,0,0,0,-62,-65,-3,-1,-1,0,13,12,-9,-1,1
Sun. 11 May.,Torino v Parma,37,0.35483870967741926,0.0,0.0,0.0,0.0,1.0,2013..2014,ita,Torino v Parma,1,-1.8000000000000007,2,-1,-43,-5,-36,-33,-6,-29,-6,-4,2,-2,4,-4,0,0,0,1,2,0,4,0,-46,-16,30,5,0,0,-6,3,13,9,1
Sun. 1 Sep.,Udinese v Parma,2,-0.5,1.0,2.0,0.45454545454545453,0.9090909090909091,-1.0,2013..2014,ita,Udinese v Parma,0,-4.399999999999999,2,1,-27,2,-37,-13,-21,-48,1,12,1,-1,-1,1,-1,-4,0,-7,-2,0,2,0,-70,-42,28,-2,0,0,3,4,3,1,1
Sun. 15 Sep.,Udinese v Bologna,3,0.3333333333333333,2.0,-2.0,0.3076923076923077,-0.3076923076923077,2.0,2013..2014,ita,Udinese v Bologna,1,-3.1999999999999993,5,5,13,-1,14,9,13,1,9,13,0,0,1,-1,4,3,0,4,3,0,-2,0,1,11,10,-10,-2,0,-2,2,0,4,0
Tue. 24 Sep.,Udinese v Genoa,5,-0.26666666666666666,1.0,-1.0,0.0847457627118644,-0.0847457627118644,0.0,2013..2014,ita,Udinese v Genoa,0,-1.2999999999999972,2,1,86,12,86,56,37,24,69,0,7,-7,-3,3,3,2,0,13,2,0,0,0,102,92,-10,-1,1,0,-5,1,11,6,0
Sun. 6 Oct.,Udinese v Cagliari,7,-0.16129032258064518,-1.0,-1.0,-0.05617977528089879,-0.05617977528089896,0.0,2013..2014,ita,Udinese v Cagliari,0,-1.5,-1,0,-5,-14,-10,2,-4,-21,14,5,2,-2,1,-1,0,-1,0,0,-1,0,0,0,-11,-19,-8,-1,1,0,8,5,-9,-3,1
Sun. 27 Oct.,Udinese v AS Roma,9,-0.6774193548387097,-13.0,8.0,-0.5349794238683128,0.3292181069958848,-14.0,2013..2014,ita,Udinese v Roma,2,-1.6999999999999993,-3,-2,-116,-10,-113,-59,-63,-45,-55,-25,-3,3,-1,1,-2,-2,0,-11,-2,0,1,0,-73,-115,-42,3,-1,0,-1,-4,-1,-3,0
Sun. 3 Nov.,Udinese v Inter Milan,11,-0.016129032258064502,-13.0,-1.0,-0.4436860068259385,-0.03412969283276446,-6.0,2013..2014,ita,Udinese v Inter,2,-3.1999999999999993,-8,-4,-49,10,-40,-35,-24,-46,-8,-4,0,0,-1,1,-8,-5,-2,-1,-3,0,0,0,-49,-50,-1,-2,0,0,-8,-7,2,1,-2
Sun. 24 Nov.,Udinese v Fiorentina,13,-0.7419354838709677,-13.0,1.0,-0.38461538461538464,0.029585798816568032,-11.0,2013..2014,ita,Udinese v Fiorentina,0,-2.1999999999999993,-3,-5,-52,3,-62,-38,-10,1,-37,-12,-2,2,-5,5,-2,0,1,2,5,0,3,0,-29,-52,-23,1,0,0,10,7,-3,-3,1
Sun. 15 Dec.,Udinese v Torino,16,-0.4032258064516129,-9.0,-4.0,-0.21428571428571436,-0.09523809523809529,-2.0,2013..2014,ita,Udinese v Torino,2,-3.5,4,2,-14,-6,6,-12,6,49,-32,-24,1,-1,-1,1,5,2,0,9,0,0,-2,0,83,-11,-94,9,-1,0,0,-3,-1,-3,0
Mon. 6 Jan.,Udinese v Hellas Verona,18,-0.16129032258064513,-14.0,-4.0,-0.29598308668076106,-0.08456659619450313,-9.0,2013..2014,ita,Udinese v Verona,2,-2.8999999999999986,1,1,76,-3,77,47,40,69,34,-16,0,0,-2,2,-1,0,-1,12,2,0,2,0,132,82,-50,2,-1,1,-6,-2,3,4,-1
Sun. 19 Jan.,Udinese v Lazio,20,-0.435483870967742,-5.0,2.0,-0.09523809523809523,0.03809523809523807,-4.0,2013..2014,ita,Udinese v Lazio,2,-1.3000000000000007,-5,-5,-90,1,-123,-44,-46,-52,-48,8,0,0,5,-5,-4,-3,0,-8,-1,0,2,0,-113,-106,7,-1,-2,0,2,9,0,7,1
Sat. 8 Feb.,Udinese v Chievo,23,0.3387096774193548,6.0,3.0,0.09852216748768472,0.049261083743842415,5.0,2013..2014,ita,Udinese v Chievo,0,-4.200000000000003,1,-1,79,27,78,49,42,23,55,13,0,0,3,-3,0,1,0,4,0,0,1,0,27,92,65,0,-1,0,1,1,0,0,0
Sun. 23 Feb.,Udinese v Atalanta,25,0.4838709677419355,4.0,-1.0,0.06042296072507558,-0.015105740181268978,0.0,2013..2014,ita,Udinese v Atalanta,1,-2.3000000000000007,1,0,-54,-2,-54,-44,-12,-28,-20,-10,1,-1,0,0,0,-2,-1,-4,-3,0,0,0,-38,-54,-16,0,2,0,-9,-4,9,5,-1
Sat. 8 Mar.,Udinese v AC Milan,27,-0.11290322580645157,-10.0,2.0,-0.14204545454545453,0.02840909090909094,-7.0,2013..2014,ita,Udinese v AC Milan,0,-3.6000000000000014,-3,-2,-121,-10,-120,-64,-62,-40,-48,-38,-4,4,3,-3,-4,-2,0,-2,-3,0,1,0,-66,-121,-55,2,-1,0,1,2,3,1,0
Sun. 23 Mar.,Udinese v Sassuolo,29,-0.3387096774193548,4.0,-14.0,0.053120849933598946,-0.18592297476759623,10.0,2013..2014,ita,Udinese v Sassuolo,0,-2.599999999999998,3,0,51,7,38,20,33,15,10,27,-3,3,7,-7,-1,2,0,-5,-2,0,0,0,11,42,31,-1,-1,0,6,7,-2,1,1
Mon. 31 Mar.,Udinese v Catania,31,0.5483870967741936,10.0,-12.0,0.125,-0.15000000000000002,15.0,2013..2014,ita,Udinese v Catania,0,-0.6999999999999993,-1,-2,-32,1,-30,-34,4,-65,25,8,-3,3,-2,2,-1,-1,0,-12,-1,0,0,0,-80,-32,48,4,-1,0,-8,-9,10,-1,0
Mon. 14 Apr.,Udinese v Juventus,33,-0.3548387096774194,-34.0,22.0,-0.4,0.25882352941176473,-46.0,2013..2014,ita,Udinese v Juventus,2,-3.799999999999997,-2,-2,-1,4,3,-14,13,21,38,-59,-3,3,3,-3,-2,0,0,0,-2,0,0,0,84,4,-80,1,-1,0,-3,-2,2,1,-2
Sat. 19 Apr.,Udinese v Napoli,34,-0.5161290322580645,-28.0,11.0,-0.3153153153153154,0.12387387387387394,-29.0,2013..2014,ita,Udinese v Napoli,1,-2.5,-4,1,-50,8,-60,-23,-17,-17,-38,11,2,-2,0,0,-3,-1,-1,3,-1,0,0,0,-68,-55,13,3,1,0,3,1,2,-2,-1
Sun. 4 May.,Udinese v Livorno,36,0.14516129032258063,0.0,-20.0,0.0,-0.2136752136752138,14.0,2013..2014,ita,Udinese v Livorno,0,-0.8000000000000007,7,2,75,-2,80,52,22,14,33,27,2,-2,4,-4,8,5,4,1,1,0,-1,0,24,86,62,5,1,0,-1,-1,4,0,3
Sat. 17 May.,Udinese v Sampdoria,38,0.4193548387096774,-2.0,-5.0,-0.019940179461615193,-0.04985044865403787,-1.0,2013..2014,ita,Udinese v Sampdoria,1,-0.7999999999999972,2,2,42,-10,51,24,22,-2,40,6,-2,2,1,-1,1,-1,0,1,2,0,2,0,23,55,32,5,-1,0,2,3,2,1,1
Sun. 31 Aug.,AC Milan v Lazio,1,0,0,0,0,0,0,2014..2015,ita,AC Milan v Lazio,0,0.0,0,-1,49,17,40,19,28,9,15,24,-2,2,3,-3,1,1,1,-9,1,0,2,0,-31,39,70,-6,-1,0,3,2,-1,-1,1
Sat. 20 Sep.,AC Milan v Juventus,3,0.0,5.0,5.0,1.0416666666666667,1.0416666666666667,0.0,2014..2015,ita,AC Milan v Juventus,2,-0.8000000000000007,-1,1,-101,19,-98,-50,-56,-41,-92,27,-1,1,4,-4,-3,-1,0,1,-1,0,0,0,-100,-98,2,9,-1,0,12,7,-8,-5,0
Sat. 4 Oct.,AC Milan v Chievo,6,0.16129032258064518,6.0,2.0,0.4878048780487806,0.16260162601626016,4.0,2014..2015,ita,AC Milan v Chievo,0,-0.1999999999999993,6,1,121,3,127,85,44,45,44,42,2,-2,5,-5,3,5,0,8,1,0,0,0,71,135,64,-1,-2,0,-6,1,1,7,0
Sun. 26 Oct.,AC Milan v Fiorentina,8,0.4838709677419355,11.0,5.0,0.6214689265536724,0.2824858757062147,5.0,2014..2015,ita,AC Milan v Fiorentina,1,0.10000000000000142,1,1,-94,6,-88,-44,-45,-31,-50,-12,-1,1,-2,2,1,2,1,2,2,0,2,0,-87,-84,3,9,-1,0,0,1,-1,1,1
Sun. 2 Nov.,AC Milan v Palermo,10,-0.048387096774193505,9.0,-5.0,0.4,-0.2222222222222222,7.0,2014..2015,ita,AC Milan v Palermo,2,1.5999999999999979,-3,-5,82,11,80,48,24,1,34,38,-3,3,5,-5,-3,1,0,0,-1,0,2,0,16,83,67,1,-2,0,-4,1,5,5,0
Sun. 23 Nov.,AC Milan v Inter Milan,12,-0.08064516129032256,3.0,2.0,0.1071428571428572,0.07142857142857151,1.0,2014..2015,ita,AC Milan v Inter,1,1.3999999999999986,0,-2,-15,14,-18,3,-20,-1,-31,11,0,0,-2,2,0,0,1,-4,1,0,0,0,-45,-7,38,5,0,0,-4,-3,-3,1,1
Sun. 30 Nov.,AC Milan v Udinese,13,0.016129032258064502,6.0,2.0,0.196078431372549,0.065359477124183,0.0,2014..2015,ita,AC Milan v Udinese,0,1.7999999999999972,4,4,116,-17,115,95,54,95,61,-6,5,-5,-4,4,2,2,0,24,4,0,0,0,157,104,-53,-2,0,0,-6,-4,2,2,0
Sun. 14 Dec.,AC Milan v Napoli,15,-0.19354838709677413,-3.0,0.0,-0.08287292817679559,0.0,-3.0,2014..2015,ita,AC Milan v Napoli,0,1.3000000000000007,-1,-3,55,24,54,9,35,-24,34,34,1,-1,-3,3,1,-2,0,-9,0,0,0,0,-12,66,78,6,1,0,-3,-1,1,2,1
Tue. 6 Jan.,AC Milan v Sassuolo,17,0.1774193548387097,8.0,-3.0,0.19464720194647206,-0.07299270072992697,5.0,2014..2015,ita,AC Milan v Sassuolo,2,-1.6999999999999993,1,-1,62,-2,61,33,34,21,36,10,2,-2,-5,5,-1,-1,-1,4,1,0,2,0,58,69,11,2,1,0,0,0,0,0,0
Sun. 18 Jan.,AC Milan v Atalanta,19,-0.09677419354838712,13.0,-3.0,0.27777777777777773,-0.06410256410256404,9.0,2014..2015,ita,AC Milan v Atalanta,2,-0.3999999999999986,-1,1,157,7,151,104,71,71,83,22,1,-1,0,0,-3,-4,-1,9,2,0,0,0,139,149,10,-7,0,0,-10,-3,13,7,-1
Sun. 1 Feb.,AC Milan v Parma,21,0.016129032258064516,9.0,-18.0,0.17307692307692307,-0.34615384615384615,16.0,2014..2015,ita,AC Milan v Parma,0,-2.1999999999999993,0,0,89,0,93,49,37,-8,83,13,-4,4,-1,1,0,0,0,-6,-2,0,0,0,6,98,92,4,0,0,-8,-8,6,0,0
Sun. 15 Feb.,AC Milan v Empoli,23,-0.4032258064516129,11.0,3.0,0.18998272884283246,0.05181347150259058,6.0,2014..2015,ita,AC Milan v Empoli,1,1.1999999999999993,-2,-2,-72,19,-79,-38,-24,-4,-65,5,0,0,1,-1,-2,0,1,3,-1,0,0,0,-67,-75,-8,7,0,0,-2,0,2,2,1
Sun. 22 Feb.,AC Milan v Cesena,24,-0.06451612903225806,10.0,-15.0,0.16366612111292955,-0.24549918166939444,14.0,2014..2015,ita,AC Milan v Cesena,0,-0.5,-2,-5,158,15,153,93,78,51,79,43,4,-4,6,-6,-3,-3,0,11,3,0,1,0,72,172,100,1,0,0,0,2,4,2,1
Sat. 7 Mar.,AC Milan v Hellas Verona,26,-0.032258064516129004,6.0,-14.0,0.09230769230769231,-0.21538461538461534,6.0,2014..2015,ita,AC Milan v Verona,1,-1.4000000000000021,3,1,169,-6,174,92,75,51,97,20,1,-1,3,-3,3,-1,0,1,2,0,-1,0,143,171,28,-5,0,0,-1,-1,1,0,0
Sat. 21 Mar.,AC Milan v Cagliari,28,0.0,5.0,-16.0,0.07215007215007219,-0.2308802308802308,14.0,2014..2015,ita,AC Milan v Cagliari,0,2.1000000000000014,4,3,81,23,77,28,58,21,57,11,3,-3,-2,2,5,3,0,7,3,0,1,0,47,81,34,5,-2,0,2,3,-4,1,1
Sun. 12 Apr.,AC Milan v Sampdoria,30,0.33870967741935487,6.0,6.0,0.08097165991902838,0.08097165991902833,-7.0,2014..2015,ita,AC Milan v Sampdoria,1,1.1000000000000014,8,5,52,-1,57,44,17,20,39,-1,-1,1,6,-6,6,4,0,6,5,0,0,0,61,59,-2,-4,-1,0,-1,1,3,2,0
Wed. 29 Apr.,AC Milan v Genoa,33,-0.3870967741935483,-1.0,2.0,-0.012195121951219523,0.02439024390243899,-4.0,2014..2015,ita,AC Milan v Genoa,2,2.1999999999999993,-4,-3,98,-1,95,39,50,-16,81,25,-3,3,3,-3,-6,-1,0,-6,0,0,2,0,7,88,81,-2,-1,0,1,-1,0,-2,-1
Sat. 9 May.,AC Milan v AS Roma,35,-0.7741935483870969,-2.0,20.0,-0.022883295194508046,0.22883295194507997,-21.0,2014..2015,ita,AC Milan v Roma,0,-1.0,1,-1,-8,-13,-8,-5,-4,27,-19,-16,1,-1,3,-3,2,2,1,2,1,0,3,0,5,-5,-10,5,-1,0,3,0,-4,-3,1
Sun. 24 May.,AC Milan v Torino,37,-0.32258064516129037,7.0,7.0,0.07391763463569162,0.07391763463569162,-5.0,2014..2015,ita,AC Milan v Torino,0,0.0,1,-1,-29,14,-27,-3,-22,18,18,-62,0,0,-1,1,1,1,1,-1,-1,0,1,0,32,-30,-62,4,1,1,4,0,-3,-4,1
Sat. 30 Aug.,AS Roma v Fiorentina,1,0,0,0,0,0,0,2014..2015,ita,Roma v Fiorentina,0,-1.4000000000000021,7,1,168,10,181,115,52,59,123,-13,0,0,3,-3,5,2,0,5,0,0,1,0,183,188,5,8,-1,0,-11,-6,3,5,1
Sun. 21 Sep.,AS Roma v Cagliari,3,0.8333333333333334,1.0,-3.0,0.20833333333333331,-0.625,5.0,2014..2015,ita,Roma v Cagliari,0,2.1000000000000014,1,0,61,11,63,20,32,-16,40,28,-2,2,-4,4,-2,-1,1,-5,-4,0,0,0,-11,55,66,0,1,0,4,2,-1,-2,2
Sat. 27 Sep.,AS Roma v Hellas Verona,5,0.30000000000000004,2.0,-2.0,0.21052631578947367,-0.21052631578947367,4.0,2014..2015,ita,Roma v Verona,0,1.1000000000000014,2,-1,212,-7,204,143,79,84,126,11,2,-2,-4,4,3,-2,0,7,0,0,2,0,177,197,20,-5,0,0,3,-3,-5,-6,0
Sat. 18 Oct.,AS Roma v Chievo,7,0.32258064516129037,6.0,-5.0,0.39735099337748336,-0.3311258278145696,11.0,2014..2015,ita,Roma v Chievo,0,-1.5,2,-2,191,10,198,99,96,8,124,65,2,-2,2,-2,2,0,1,7,-3,0,1,0,68,198,130,-4,0,0,0,3,4,3,3
Wed. 29 Oct.,AS Roma v Cesena,9,0.5161290322580645,8.0,-9.0,0.38834951456310673,-0.43689320388349506,13.0,2014..2015,ita,Roma v Cesena,0,0.6999999999999993,4,4,237,11,250,120,105,14,153,59,1,-1,-1,1,2,1,1,-7,-4,0,3,0,139,256,117,2,0,0,-5,-2,10,3,1
Sun. 9 Nov.,AS Roma v Torino,11,-0.19354838709677424,9.0,-3.0,0.3585657370517929,-0.11952191235059761,10.0,2014..2015,ita,Roma v Torino,0,-2.8000000000000007,6,2,70,1,73,45,12,16,56,-16,-3,3,-2,2,4,2,1,-5,2,0,-2,0,86,76,-10,-1,0,0,0,3,2,3,2
Sun. 30 Nov.,AS Roma v Inter Milan,13,0.3709677419354839,3.0,-8.0,0.0980392156862745,-0.26143790849673204,11.0,2014..2015,ita,Roma v Inter,0,1.8999999999999986,5,2,95,20,92,48,45,18,46,29,2,-2,5,-5,3,2,0,1,-1,0,2,0,57,95,38,-3,0,0,-3,-2,2,1,0
Sat. 6 Dec.,AS Roma v Sassuolo,14,0.032258064516129004,12.0,-7.0,0.3614457831325301,-0.21084337349397592,13.0,2014..2015,ita,Roma v Sassuolo,1,-0.09999999999999787,11,7,254,5,241,167,121,99,142,48,8,-8,-1,1,8,3,-1,21,5,0,-1,0,194,247,53,3,2,0,-2,-2,2,0,-2
Sat. 20 Dec.,AS Roma v AC Milan,16,0.17741935483870963,3.0,-7.0,0.07832898172323755,-0.18276762402088775,11.0,2014..2015,ita,Roma v AC Milan,1,-0.5,4,5,85,2,83,41,51,62,41,-8,6,-6,6,-6,5,3,0,4,3,0,-2,0,97,86,-11,-4,-1,0,4,6,1,2,0
Sun. 11 Jan.,AS Roma v Lazio,18,-0.016129032258064502,-2.0,-8.0,-0.04597701149425282,-0.1839080459770115,9.0,2014..2015,ita,Roma v Lazio,1,0.40000000000000213,-3,1,28,1,29,28,8,0,21,13,-2,2,-1,1,-2,1,-1,-2,1,0,-1,0,5,20,15,-2,-1,0,0,0,-1,0,-2
Sat. 31 Jan.,AS Roma v Empoli,21,0.3548387096774193,15.0,-10.0,0.28846153846153844,-0.1923076923076923,23.0,2014..2015,ita,Roma v Empoli,1,1.1000000000000014,4,1,19,12,22,-1,16,14,16,-13,4,-4,0,0,4,1,0,2,0,0,2,0,36,27,-9,-1,-1,1,3,4,0,1,-1
Sun. 15 Feb.,AS Roma v Parma,23,0.7580645161290323,16.0,-30.0,0.2763385146804836,-0.5181347150259067,36.0,2014..2015,ita,Roma v Parma,1,-1.1999999999999993,5,5,199,2,205,115,92,41,135,32,2,-2,7,-7,3,0,0,3,0,0,-2,0,163,213,50,2,-1,0,-8,-3,8,5,0
Mon. 2 Mar.,AS Roma v Juventus,25,-0.27419354838709675,-14.0,5.0,-0.2208201892744479,0.07886435331230285,-9.0,2014..2015,ita,Roma v Juventus,1,-2.1000000000000014,-3,-1,137,24,131,66,73,41,110,-10,-4,4,1,-1,-4,-1,0,0,-1,0,0,0,113,140,27,4,1,0,4,3,-4,-1,0
Mon. 16 Mar.,AS Roma v Sampdoria,27,-0.33870967741935487,4.0,-9.0,0.059523809523809534,-0.1339285714285714,8.0,2014..2015,ita,Roma v Sampdoria,2,0.3000000000000007,6,6,103,-15,110,64,57,37,74,8,4,-4,1,-1,6,4,0,10,0,0,1,0,98,106,8,3,-2,0,3,4,3,1,0
